,file,scenario,tech_choice,city,doe_reference_name,urdb_label,natural_gas_price,iteration,pv_kw,pv_production,storage_kw,storage_kwh,chp_kw,hot_tes,cold_tes,net_capex_repl_om,energy_from_grid_year_one,energy_from_grid_year_one_bau,energy_cost,demand_cost,fixed_cost,min_cost_adder,energy_cost_bau,demand_cost_bau,min_cost_adder_bau,lcc_bau,lcc,npv,pre_setup_scenario_seconds,setup_scenario_seconds,reopt_seconds,reopt_bau_seconds,parse_run_outputs_seconds
60,chp_coldtes_SanFrancisco_Hospital_5ec2a6945457a3e60d81625c_9_0.json,PrivateFivePct420SecsC110PConst,chp_coldtes,SanFrancisco,Hospital,5ec2a6945457a3e60d81625c,9,0,0.0,,0.0,0.0,0.0,0.0,39575.8780487805,59364.0,7757389.4113,7752817.0,2354947.68,1999856.86,46684.3,0.0,2358599.71,2090437.0,0.0,5675542.0,5640673.0,34869.0,0.131110429763794,3.47799396514893,7.5926456451416,1.30993223190308,0.130355834960938
61,chp_hottes_SanFrancisco_Hospital_539f7118ec4f024411ece26f_13_0.json,PrivateFivePct420SecsC110PConst,chp_hottes,SanFrancisco,Hospital,539f7118ec4f024411ece26f,13,0,,,,,,,,,,,,,,,,,,,,,,,,,
62,chp_pv_bess_hottes_SanFrancisco_Hospital_539f74f4ec4f024411ed0e5b_13_0.json,PrivateFivePct420SecsC110PConst,chp_pv_bess_hottes,SanFrancisco,Hospital,539f74f4ec4f024411ed0e5b,13,0,,,,,,,,,,,,,,,,,,,,,,,,,
63,chp_hottes_SanFrancisco_Hospital_5e7cc9135457a338417d5622_13_0.json,PrivateFivePct420SecsC110PConst,chp_hottes,SanFrancisco,Hospital,5e7cc9135457a338417d5622,13,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7752817.0,7752817.0,5170497.86,1645502.29,20252.48,0.0,5170497.86,1645502.29,0.0,8540438.0,8540438.0,0.0,0.195502281188965,2.30154132843018,221.72885966301,0.848834276199341,0.0973746776580811
64,chp_pv_bess_hottes_SanFrancisco_Hospital_5ec2a6945457a3e60d81625c_9_0.json,PrivateFivePct420SecsC110PConst,chp_pv_bess_hottes,SanFrancisco,Hospital,5ec2a6945457a3e60d81625c,9,0,,,,,,,,,,,,,,,,,,,,,,,,,
65,chp_pv_bess_coldtes_SanFrancisco_Hospital_5e1676e95457a3f87673e3b0_9_0.json,PrivateFivePct420SecsC110PConst,chp_pv_bess_coldtes,SanFrancisco,Hospital,5e1676e95457a3f87673e3b0,9,0,2325.5633,3338529.0,327.2934,779.2577,422.715,0.0,197262.331010453,4872613.83,2376423.4658,7752817.0,2230174.38,1313671.24,157801.81,0.0,7964797.23,5274309.78,0.0,14576729.0,10686317.0,3890412.0,0.2096107006073,4.02488803863525,85.1952648162842,1.21282577514648,0.639059543609619
66,chp_SanFrancisco_Hospital_5e1676e95457a3f87673e3b0_9_0.json,PrivateFivePct420SecsC110PConst,chp,SanFrancisco,Hospital,5e1676e95457a3f87673e3b0,9,0,0.0,,0.0,0.0,1167.75,0.0,0.0,3718798.0,966538.7958,7752817.0,978406.55,705613.72,157801.81,0.0,7964797.23,5274309.78,0.0,14576729.0,12550316.0,2026413.0,0.213486433029175,2.31930613517761,7.6725332736969,0.798249244689941,0.112542152404785
67,chp_SanFrancisco_Hospital_5e7cc9135457a338417d5622_9_0.json,PrivateFivePct420SecsC110PConst,chp,SanFrancisco,Hospital,5e7cc9135457a338417d5622,9,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7752817.0,7752817.0,5170497.86,1645502.29,20252.48,0.0,5170497.86,1645502.29,0.0,8016073.0,8016073.0,0.0,0.269062280654907,2.46136116981506,4.13328671455383,0.781524896621704,0.09548020362854
68,pv_bess_SanFrancisco_Hospital_5cb742345457a31e119b6ec3__0.json,PrivateFivePct420SecsC110PConst,pv_bess,SanFrancisco,Hospital,5cb742345457a31e119b6ec3,,0,3304.5173,4743894.0,756.0704,4789.8855,0.0,0.0,0.0,7132491.96,3536533.8874,7752817.0,4794955.39,1195455.58,85623.15,0.0,14503814.64,2115012.12,0.0,16704450.0,11940560.0,4763890.0,0.220071315765381,1.97927474975586,5.82129693031311,0.596437692642212,5.79645609855652
69,chp_pv_bess_coldtes_SanFrancisco_Hospital_5e7cc9135457a338417d5622_13_0.json,PrivateFivePct420SecsC110PConst,chp_pv_bess_coldtes,SanFrancisco,Hospital,5e7cc9135457a338417d5622,13,0,721.8734,1036306.0,0.0,0.0,0.0,0.0,47390.2822299652,820456.0,6719006.0928,7752817.0,4481030.14,1381318.58,20252.48,0.0,5170497.86,1645502.29,0.0,8540438.0,8407243.0,133195.0,0.26677131652832,4.34409379959106,102.575932502747,1.17408776283264,0.505404949188232
